Job title,Salary amount,Salary currency,Conversion ratio,Country,City,State,Reference year,Remote ratio,Company industry,Company size,Education,Experience level,Employment type
Data Scientist,125000.0,USD,1.0,US,Seattle,WA,2020,,StartUp,,BSc in STEM,MI,
Data Scientist,178000.0,USD,1.0,US,San Francisco,CA,2020,,Tech Company,,PhD,,
Data Scientist,123500.0,USD,1.0,US,New York,NY,2020,,Finance,,MSc in STEM,EN,
Data Scientist,87000.0,USD,1.0,US,Baltimore,MD,2020,,"Education, Research ad University",,MSc not specified,EN,
Analytics Manager,70000.0,USD,1.0,US,Dallas,TX,2020,,Manufactoring,,BSc in STEM,,
Data Science Manager,170000.0,USD,1.0,US,East Coast of the United States,,2020,,Consulting,,PhD,EN,
Data Scientist,37000.0,USD,1.0,AT,,,2020,,Finance,,MSc in STEM,SE,
Data Scientist,36000.0,USD,1.0,SG,,,2020,,Finance,,MSc in human sciences,,
BI Analyst,90000.0,USD,1.0,US,Houston,TX,2020,,Consulting,,No degree,,
Data Scientist,110000.0,USD,1.0,US,Midwest City,OK,2020,,Healthcare,,MBA,MI,
Data Scientist,125000.0,USD,1.0,US,,Texas,2020,,Finance,,PhD,EN,
Data Scientist,140000.0,USD,1.0,US,East Coast of the United States,,2020,,Tech Company,,MSc not specified,MI,
Quant Trader,135000.0,USD,1.0,US,Chicago,IL,2020,,Finance,,MSc in STEM,,
Product Analyst,110000.0,USD,1.0,US,,Connecticut,2020,,Big Tech,,BSc in economics,SE,
Data Scientist,104000.0,USD,1.0,US,,Tennessee,2020,,Finance,,MSc in STEM,SE,
Softwate engineer,15000.0,USD,1.0,LB,,,2020,,Tech Company,,BSc not specified,,
Data Scientist,160000.0,USD,1.0,US,San Francisco Bay Area,CA,2020,,Big Tech,,MBA,,
Data Scientist,100000.0,USD,1.0,US,New York,NY,2020,,Finance,,MSc not specified,IS,
Product Analyst,48000.0,USD,1.0,IE,,,2020,,Retail,,MSc in STEM,EN,
Data Analyst,60000.0,USD,1.0,US,Houston,TX,2020,,Tech Company,,No degree,SE,
Data Analyst,115000.0,USD,1.0,US,San Francisco,CA,2020,,Big Tech,,BSc in economics,,
Data Scientist,185000.0,USD,1.0,US,San Francisco Bay,California,2020,,Tech Company,,PhD,SE,
Engineering Lead,155000.0,USD,1.0,CA,,,2020,,"Energy, oil and gas",,BSc in STEM,MI,
Data Scientist,89300.0,USD,1.0,US,,Kansas City Metropolitan Area,2020,,Tech Company,,MSc in STEM,SE,
Associate Finance Manager - Data Science,93000.0,USD,1.0,US,,New Jersey,2020,,Finance,,MSc in STEM,MI,
Data Scientist,1400.0,USD,1.0,US,,New Jersey,2020,,Healthcare,,MSc not specified,,
Insights Consultant,150000.0,USD,1.0,US,,New Jersey,2020,,"Education, Research ad University",,MSc not specified,SE,
Data Scientist,120000.0,USD,1.0,US,Chicago,IL,2020,,Consulting,,MSc in STEM,EN,
Data Scientist,160000.0,USD,1.0,US,Upper Midwest,,2020,,Healthcare,,MSc in STEM,SE,
Data Analyst,67000.0,USD,1.0,US,Denver,CO,2020,,Travelling and Enterteinment,,BSc not specified,,
ML Engineer,33000.0,USD,1.0,BY,Minsk,Minsk Region,2020,,Ecommerce,,MSc in STEM,IS,
Data Scientist,55000.0,EUR,1.0882787,DE,,,2020,,Ecommerce,,MSc in STEM,IS,
Data Scientist,175000.0,USD,1.0,US,Houston,TX,2022,,Tech Company,,MSc in STEM,SE,
Data Analyst,113000.0,USD,1.0,US,Arlington,VA,2022,,Public Sector and Gonverment,,BSc in economics,SE,
Data Analyst,75000.0,USD,1.0,US,San Francisco Bay Area,CA,2022,,Warehousing and Logistic,,MSc in STEM,IS,
Data Scientist,150000.0,USD,1.0,US,New York,NY,2022,,Ecommerce,,MSc in STEM,SE,
ML Engineer,195000.0,USD,1.0,CA,,,2022,,StartUp,,MSc in STEM,MI,
Data Analyst,70000.0,USD,1.0,CA,Toronto,ON,2022,,Tech Company,,MBA,IS,
ML Engineer,105000.0,USD,1.0,CA,Toronto,ON,2022,,Travelling and Enterteinment,,MSc in STEM,IS,
Data Scientist,195000.0,USD,1.0,US,Seattle,WA,2022,,Big Tech,,PhD,,
Data Scientist,150000.0,USD,1.0,US,New York,NY,2022,,"Marketing, Media and Advertising",,MSc in STEM,IS,
Data Analyst,85000.0,USD,1.0,US,Atlanta,GA,2022,,Warehousing and Logistic,,BSc not specified,EN,
Data Scientist,190000.0,USD,1.0,US,Silicon Valley,CA,2022,,Ecommerce,,MSc in STEM,SE,
Analytics Manager,125000.0,USD,1.0,US,Midwest City,OK,2022,,Finance,,MSc in STEM,,
Data Scientist,95000.0,CAD,0.73006557,CA,Toronto,ON,2022,,Warehousing and Logistic,,MSc in STEM,EN,
Data Scientist,160000.0,USD,1.0,US,,,2022,,Healthcare,,,,
Data Scientist,70000.0,SGD,0.74328847,SG,,,2022,,Tech Company,,BSc in STEM,EN,
BI Analyst,79000.0,USD,1.0,US,,Pennsylvania,2022,,Retail,,MBA,,
Data Scientist,125000.0,CAD,0.73006557,CA,,,2022,,Tech Company,,BSc in STEM,EN,
ML Engineer,150000.0,USD,1.0,US,Chicago,IL,2022,,Tech Company,,BSc in STEM,SE,
Data Scientist,60000.0,USD,1.0,US,Chicago,IL,2022,,Finance,,MSc in STEM,IS,
Data Scientist,90000.0,USD,1.0,US,Chicago,IL,2022,,"Education, Research ad University",,BSc not specified,MI,
Data Scientist,127000.0,USD,1.0,US,Chicago,IL,2022,,Travelling and Enterteinment,,MSc in STEM,SE,
Data Scientist,160000.0,CAD,0.73006557,CA,,,2022,,Warehousing and Logistic,,BSc not specified,SE,
Data Scientist,64000.0,USD,1.0,IE,,,2022,,Tech Company,,PhD,,
Data Scientist,100000.0,USD,1.0,US,,,2022,,"Energy, oil and gas",,BSc in STEM,EN,
ML Engineer,180000.0,USD,1.0,US,Midwestern United States,,2022,,Retail,,MSc not specified,MI,
Data Scientist,76000.0,USD,1.0,DE,,,2022,,Healthcare,,PhD,SE,
Data Analyst,112000.0,USD,1.0,US,Albany,NY,2022,,Finance,,MBA,EN,
Data Scientist,46000.0,USD,1.0,US,Albany,NY,2022,,"Marketing, Media and Advertising",,MSc in STEM,,
Data Scientist,122000.0,USD,1.0,US,Arlington,VA,2022,,Ciber Security,,MBA,SE,
Sr. Data Engineer,144000.0,USD,1.0,US,,New Jersey,2022,,Manufactoring,,PhD,,
,8000.0,USD,1.0,AR,,,2022,,Finance,,BSc in STEM,SE,
Data Scientist,95000.0,CHF,1.1143726,CH,,,2022,,Retail,,MSc in STEM,IS,
BI Manager,120000.0,USD,1.0,US,Remote,OR 97458,2022,,Finance,,MSc in STEM,SE,
Data Scientist,23000.0,USD,1.0,PL,,,2022,,Small Tech,,BSc in STEM,IS,
Data Scientist,120000.0,USD,1.0,US,Northeastern United States,,2022,,Finance,,MSc in STEM,,
Data Scientist,150000.0,USD,1.0,US,San Francisco Bay Area,CA,2022,,Healthcare,,PhD,SE,
Data Scientist,110000.0,USD,1.0,US,New York,NY,2022,,"Education, Research ad University",,MSc in STEM,IS,
Data Scientist,130000.0,USD,1.0,US,San Francisco Bay Area,CA,2022,,Tech Company,,PhD,EN,
NLP Scientist,110000.0,USD,1.0,US,Northeastern United States,,2022,,Healthcare,,PhD,,
Data Scientist,150000.0,USD,1.0,US,San Francisco,CA,2022,,Tech Company,,MSc in STEM,SE,
Product Analyst,90000.0,USD,1.0,US,Indianapolis,IN,2022,,Others,,MSc in STEM,IS,
Data Analyst,74000.0,CAD,0.73006557,CA,Toronto,ON,2022,,"Education, Research ad University",,MSc in Others,IS,
Data Scientist,120000.0,USD,1.0,US,New York,NY,2022,,Finance,,MSc not specified,,
ML Engineer,140000.0,USD,1.0,US,San Francisco,CA,2022,,Healthcare,,PhD,MI,
Data Analyst,60000.0,USD,1.0,US,Charlotte,NC,2022,,Big Tech,,BSc in human sciences,,
Data Scientist,170000.0,USD,1.0,US,Washington,DC,2022,,Finance,,MSc in STEM,,
Data Scientist,145000.0,USD,1.0,US,Philadelphia,PA,2022,,Tech Company,,PhD,MI,
Data Scientist,112000.0,USD,1.0,US,Austin,TX,2022,,Tech Company,,MBA,IS,
Data Analyst,113000.0,USD,1.0,US,Dallas,TX,2022,,Healthcare,,MBA,,
Data Analyst,140000.0,USD,1.0,US,New York,NY,2022,,Tech Company,,MSc not specified,SE,
Data Scientist,130000.0,USD,1.0,US,San Francisco,CA,2022,,Finance,,BSc in STEM,SE,
Data Scientist,130000.0,USD,1.0,US,New York,NY,2022,,Tech Company,,MSc in STEM,MI,
Data Scientist,190000.0,USD,1.0,US,,,2022,,Consulting,,MSc not specified,MI,
ML Engineer,23300.0,USD,1.0,IN,Jaipur,Rajasthan,2022,,Tech Company,,MSc not specified,,
Data Scientist,100000.0,USD,1.0,US,Salt Lake City,UT,2022,,Small Tech,,BSc in STEM,EN,
Data Analyst,450000.0,USD,1.0,US,,North Carolina,2022,,Others,,MSc in STEM,MI,
Product Analyst,75000.0,USD,1.0,US,Phoenix,AZ,2022,,Ecommerce,,MBA,IS,
Bioinformatics scientist,62000.0,USD,1.0,IL,,,2022,,Healthcare,,MSc in STEM,,
Data Analyst,90000.0,USD,1.0,US,St. Louis,MO,2022,,Healthcare,,MSc in STEM,SE,
BI Developer,104000.0,USD,1.0,US,,Connecticut,2022,,Manufactoring,,No degree,SE,
Data Analyst,130000.0,USD,1.0,US,San Francisco Bay Area,CA,2022,,Tech Company,,MSc in STEM,,
Data Scientist,93000.0,USD,1.0,US,,Illinois,2022,,Retail,,MSc in STEM,,
Data Scientist,164000.0,USD,1.0,US,Seattle,WA,2022,,Big Tech,,PhD,SE,
Data Analyst,88000.0,USD,1.0,US,San Diego,CA,2022,,Retail,,MSc in STEM,EN,
Applied Scientist,170000.0,USD,1.0,US,San Francisco Bay Area,CA,2022,,Tech Company,,PhD,IS,
ML Engineer,12000.0,USD,1.0,IN,Bengaluru,Karnataka,2022,,Tech Company,,MSc in STEM,IS,
Data Scientist,20000.0,USD,1.0,South America,,,2022,,Finance,,BSc in STEM,EN,
ML Engineer,295000.0,USD,1.0,US,Seattle,WA,2019,,Tech Company,,MSc not specified,SE,
Data Analyst,160000.0,USD,1.0,US,Pittsburgh,PA 15260,2019,,"Energy, oil and gas",,MBA,,
Data Analyst,60000.0,USD,1.0,US,Atlanta,GA,2019,,Retail,,BSc in economics,,
Marketing Manager ,128000.0,USD,1.0,US,Southern California,CA,2019,,Healthcare,,MSc in economics,SE,
Data Analyst,645000.0,USD,1.0,DE,,,2019,,Tech Company,,PhD,IS,
Data Analyst,84000.0,USD,1.0,US,,New Jersey,2019,,Retail,,BSc in STEM,IS,
ML Engineer,40000.0,USD,1.0,US,,New Jersey,2019,,Consulting,,MSc in STEM,EN,
Data Analyst,65000.0,USD,1.0,US,Minneapolis,MN,2019,,Retail,,MSc in STEM,IS,
Business Intelligence Engineer III,110000.0,USD,1.0,US,Seattle,WA,2019,,Big Tech,,MSc in human sciences,,
Data Scientist,135000.0,USD,1.0,US,San Francisco,CA,2019,,Tech Company,,MSc in STEM,EN,
Data Scientist,95500.0,USD,1.0,US,Los Angeles,CA,2019,,Others,,MSc in STEM,MI,
Data Scientist,100000.0,USD,1.0,US,South Florida,FL,2019,,Tech Company,,BSc not specified,MI,
Data Scientist,110000.0,USD,1.0,US,,,2019,,Tech Company,,PhD,IS,
Data Scientist,110000.0,USD,1.0,US,Philadelphia,PA,2019,,Retail,,PhD,,
Data Analyst,1200000.0,INR,0.011962834,IN,,,2019,,"Marketing, Media and Advertising",,BSc not specified,SE,
Data Scientist,175000.0,USD,1.0,US,San Francisco,CA,2019,,Tech Company,,PhD,,
Analytics Manager,103000.0,USD,1.0,US,Midwestern United States,,2019,,Retail,,MBA,,
Data Scientist,27700.0,USD,1.0,US,Midwestern United States,,2019,,"Energy, oil and gas",,,,
Data Scientist,105000.0,USD,1.0,US,,,2019,,Finance,,MBA,EN,
Data Scientist,72000.0,USD,1.0,US,Midwestern United States,,2019,,"Marketing, Media and Advertising",,No degree,IS,
Data Scientist,116500.0,USD,1.0,US,Austin,TX,2019,,Tech Company,,MSc in STEM,IS,
Data Scientist,475000.0,USD,1.0,US,San Francisco Bay,California,2019,,Tech Company,,,,
Data Scientist,127000.0,USD,1.0,US,Midwestern United States,,2019,,Tech Company,,MSc in STEM,SE,
Data Analyst,15000.0,USD,1.0,PH,,,2019,,Finance,,MSc in STEM,IS,
Data Scientist,59000.0,EUR,1.0882787,NL,,,2019,,Travelling and Enterteinment,,MSc in STEM,MI,
Algorithm Developer,160000.0,USD,1.0,US,Austin,TX,2019,,"Energy, oil and gas",,MSc in STEM,,
Data Scientist,525000.0,USD,1.0,US,Fort Lauderdale,FL,2019,,Healthcare,,BSc in STEM,SE,
Data Scientist,90000.0,USD,1.0,US,Phoenix,AZ,2019,,Finance,,MBA,,
Data Scientist,136000.0,USD,1.0,US,Houston,TX,2019,,"Energy, oil and gas",,MSc in STEM,EN,
Data Scientist,83000.0,USD,1.0,US,Midwestern United States,,2019,,Big Tech,,MSc in STEM,IS,
Data Scientist,155000.0,USD,1.0,US,San Francisco Bay Area,CA,2019,,Big Tech,,PhD,EN,
Data Scientist,130000.0,USD,1.0,US,Irving,TX,2019,,Travelling and Enterteinment,,MSc in STEM,SE,
Data Scientist,165000.0,USD,1.0,US,New York,NY,2019,,Healthcare,,BSc not specified,EN,
Data Scientist,160000.0,USD,1.0,US,Los Angeles,CA,2019,,Tech Company,,MSc in STEM,MI,
Data Scientist,95000.0,USD,1.0,US,St. Louis,MO,2019,,Healthcare,,MSc not specified,,
Data Scientist,118000.0,USD,1.0,US,Seattle,WA,2019,,Tech Company,,MSc in STEM,IS,
BI Analyst,88000.0,USD,1.0,US,Riverside County,CA,2019,,Retail,,MSc in STEM,MI,
Data Scientist,151000.0,USD,1.0,US,,Colorado,2019,,Tech Company,,MSc not specified,EN,
Director of Data Science,200000.0,USD,1.0,US,Houston,TX,2019,,Travelling and Enterteinment,,PhD,IS,
Data Scientist,10800.0,USD,1.0,Central Europe,,,2019,,Consulting,,MSc in STEM,,
Director,185000.0,USD,1.0,US,San Francisco,CA,2019,,Finance,,MSc not specified,IS,
Data Analyst,86000.0,USD,1.0,US,Seattle,WA,2019,,"Education, Research ad University",,BSc not specified,MI,
Product Analyst,95000.0,USD,1.0,US,Boston,MA,2019,,Finance,,MSc in STEM,IS,
Applied Scientist,160000.0,USD,1.0,US,West Coast,,2019,,Tech Company,,PhD,,
Data Scientist,130000.0,USD,1.0,US,Denver,CO,2019,,Null,,PhD,MI,
Data Scientist,135000.0,USD,1.0,US,Washington,DC,2019,,Consulting,,BSc in STEM,SE,
Marketing Coordinator,30000.0,USD,1.0,US,,Ohio,2019,,Others,,BSc in human sciences,,
Data Scientist,65000.0,USD,1.0,US,Austin,TX,2019,,Manufactoring,,BSc in STEM,IS,
Data Scientist,100400.0,USD,1.0,US,,,2019,,Finance,,MSc in STEM,,
Data Scientist,120000.0,USD,1.0,US,San Francisco,CA,2019,,Tech Company,,MSc not specified,IS,
Data Analyst,96000.0,USD,1.0,US,Austin,TX,2019,,Tech Company,,MSc in economics,,
Data Scientist,180000.0,USD,1.0,US,San Francisco Bay Area,CA,2019,,Tech Company,,BSc in STEM,,
Lead Data Engineer,130000.0,USD,1.0,CA,Toronto,ON,2019,,Finance,,No degree,SE,
Researcher,200000.0,USD,1.0,US,New York,NY,2019,,Tech Company,,MSc not specified,,
Product Analyst,101500.0,USD,1.0,US,Columbus,OH,2019,,Healthcare,,MBA,SE,
,170000.0,USD,1.0,US,San Francisco,CA,2019,,Big Tech,,,,
Data Scientist,115000.0,USD,1.0,US,San Francisco,CA,2019,,Tech Company,,BSc not specified,IS,
Data Scientist,121000.0,USD,1.0,US,Washington,DC,2019,,Finance,,PhD,EN,
Data Scientist,80000.0,USD,1.0,US,New York,NY,2019,,Tech Company,,BSc in economics,EN,
,85000.0,USD,1.0,US,,,2019,,Finance,,MSc in STEM,EN,
BI Analyst,43000.0,USD,1.0,US,Kansas City,MO,2019,,Warehousing and Logistic,,BSc in human sciences,,
Data Scientist,115000.0,USD,1.0,US,Washington,DC,2019,,Consulting,,BSc in STEM,MI,
BI Analyst,59000.0,USD,1.0,US,Chicago,IL,2019,,Tech Company,,BSc in Others,,
BI Analyst,48000.0,USD,1.0,US,Chicago,IL,2019,,Warehousing and Logistic,,BSc not specified,,
Data Scientist,80000.0,USD,1.0,US,South Florida,FL,2019,,Warehousing and Logistic,,MSc in economics,EN,
Data Analyst,60000.0,USD,1.0,US,Chicago,IL,2019,,"Marketing, Media and Advertising",,BSc in STEM,,
Analytics Manager,110000.0,USD,1.0,US,Seattle,WA,2019,,Tech Company,,MSc in STEM,,
Product Analyst,58000.0,USD,1.0,US,Chattanooga,TN,2019,,Finance,,MBA,,
Research Investigator,117000.0,USD,1.0,US,,,2019,,Healthcare,,PhD,IS,
Data Scientist,45000.0,USD,1.0,US,,,2019,,Finance,,MSc in STEM,IS,
Research Associate,55000.0,USD,1.0,US,West Coast,,2019,,"Education, Research ad University",,MSc in STEM,,
Data Scientist,95000.0,USD,1.0,US,New York,NY,2019,,Others,,MBA,SE,
Data Scientist,145000.0,USD,1.0,US,New York,NY,2019,,Big Tech,,PhD,SE,
Data Scientist,175000.0,USD,1.0,US,New York,NY,2019,,Tech Company,,MSc not specified,SE,
Data Scientist,100000.0,USD,1.0,US,,North Carolina,2019,,Healthcare,,MSc not specified,IS,
Head Scientist,120000.0,USD,1.0,US,San Francisco,CA,2019,,Tech Company,,PhD,,
Data Analyst,54000.0,USD,1.0,US,Sacramento,CA,2019,,"Education, Research ad University",,MSc in STEM,MI,
Data Analyst,85000.0,USD,1.0,US,Dallas,TX,2019,,Healthcare,,No degree,,
"Director, Data Science",230000.0,USD,1.0,US,New York,NY,2019,,Tech Company,,PhD,,
Data Scientist,137500.0,USD,1.0,US,St. Louis,MO,2021,,Tech Company,,PhD,IS,
Data Scientist,90000.0,USD,1.0,CA,Vancouver,BC,2021,,Tech Company,,PhD,EN,
Data Scientist,114000.0,USD,1.0,US,,Illinois,2021,,Manufactoring,,,,
Data Scientist,240000.0,USD,1.0,US,San Francisco Bay Area,CA,2021,,Big Tech,,PhD,SE,
ML Engineer,120000.0,USD,1.0,DE,,,2021,,StartUp,,PhD,MI,
Product Analyst,180000.0,USD,1.0,US,San Francisco Bay Area,CA,2021,,Big Tech,,PhD,,
Data Scientist,150000.0,USD,1.0,US,San Francisco,CA,2021,,Manufactoring,,PhD,MI,
Decision Scientist,100000.0,USD,1.0,US,Denver,CO,2021,,Tech Company,,MSc in STEM,SE,
AI Engineer,50000.0,USD,1.0,US,Denver,CO,2021,,Consulting,,MSc in STEM,,
Data Scientist,160000.0,USD,1.0,US,San Francisco Bay Area,CA,2021,,Big Tech,,MSc not specified,EN,
Director of Data Science,185000.0,USD,1.0,US,,Minnesota,2021,,Healthcare,,PhD,,
Data Analyst,110000.0,USD,1.0,US,,Ohio,2021,,Tech Company,,MSc in STEM,IS,
quantitative modeling / data science,115000.0,USD,1.0,US,Pittsburgh,PA,2021,,Finance,,MSc in STEM,IS,
Analytics Manager,150000.0,USD,1.0,US,,,2021,,Tech Company,,BSc in STEM,MI,
VP of Data Science,200000.0,USD,1.0,US,Boston,MA,2021,,Consulting,,PhD,,
,92400.0,USD,1.0,US,New York,NY,2021,,Big Tech,,No degree,IS,
Data Scientist,55000.0,USD,1.0,BR,São Paulo - SP,03978-100,2021,,Consulting,,MSc in STEM,,
Data Scientist,187000.0,USD,1.0,US,San Francisco,CA,2021,,Tech Company,,No degree,SE,
Data Scientist,95000.0,USD,1.0,CA,Montreal,QC,2021,,"Energy, oil and gas",,MSc in STEM,IS,
ML Engineer,300000.0,USD,1.0,US,San Francisco,CA,2021,,Tech Company,,PhD,SE,
Data Scientist,175000.0,USD,1.0,US,New York,NY,2021,,Ecommerce,,MSc in STEM,,
Data Analyst,50000.0,GBP,1.2951632,US,New York,NY,2021,,Tech Company,,MSc in STEM,,
Data Scientist,150000.0,USD,1.0,US,Washington,DC,2021,,Finance,,MSc in STEM,,
Data Analyst,110000.0,USD,1.0,US,Arlington,VA,2021,,Public Sector and Gonverment,,BSc in economics,SE,
Product Analyst,125000.0,USD,1.0,US,Seattle,WA,2021,,Tech Company,,MSc in STEM,,
Data Scientist,40320.0,USD,1.0,SG,,,2021,,Finance,,BSc in STEM,,
HPC Systems Engineer,186000.0,USD,1.0,US,New York,NY,2021,,Healthcare,,No degree,SE,
Data Science Research Assistant,15000.0,USD,1.0,ES,,,2021,,"Education, Research ad University",,No degree,,
Data Scientist,45000.0,USD,1.0,ES,,,2021,,Public Sector and Gonverment,,MSc not specified,,
Data Scientist,113000.0,CAD,0.73006557,CA,Toronto,ON,2021,,Tech Company,,BSc in human sciences,,
Quantitative UX Researcher ,160000.0,USD,1.0,US,New York,NY,2021,,Big Tech,,MSc in STEM,,
Head of &lt;program related to data science&gt,150000.0,USD,1.0,US,Upper Midwest,,2021,,Tech Company,,MSc in STEM,IS,
Data Analyst,70000.0,USD,1.0,US,,South Carolina,2021,,Finance,,BSc in STEM,MI,
Data Scientist,155000.0,USD,1.0,US,Houston,TX,2021,,Tech Company,,MSc in STEM,,
Data Scientist,225000.0,USD,1.0,US,San Francisco Bay,California,2021,,Big Tech,,,,
Data Scientist,160000.0,USD,1.0,US,San Francisco Bay Area,CA,2021,,Big Tech,,BSc not specified,IS,
Data Scientist,160000.0,USD,1.0,US,,New England,2021,,Tech Company,,MSc in STEM,SE,
Data Scientist,145000.0,USD,1.0,US,,Colorado,2021,,Tech Company,,BSc not specified,MI,
Data Scientist,65000.0,USD,1.0,US,Detroit,MI,2021,,Consulting,,MBA,,
Quantitative Researcher,250000.0,USD,1.0,US,Chicago,IL,2021,,Finance,,PhD,,
Data Scientist,143500.0,USD,1.0,US,Boston,MA,2021,,"Education, Research ad University",,MSc in STEM,,
Data Scientist,110000.0,USD,1.0,US,,Ohio,2021,,Tech Company,,MSc in STEM,MI,
Data Scientist,165000.0,USD,1.0,US,Marin County,CA,2021,,Healthcare,,,,
Director,180000.0,USD,1.0,US,,,2021,,Tech Company,,BSc in STEM,SE,
Data Scientist,50000.0,EUR,1.0882787,US,,,2021,,Others,,MSc in STEM,IS,
Data Scientist,120000.0,USD,1.0,US,Washington,DC 20003,2021,,Consulting,,No degree,,
ML Engineer,175000.0,USD,1.0,CA,,,2021,,Tech Company,,MSc in STEM,,
Data Scientist,190000.0,USD,1.0,US,,Arkansas,2021,,Consulting,,PhD,,
Data Scientist,125000.0,USD,1.0,US,,,2021,,Healthcare,,BSc not specified,,
Applied Scientist,185000.0,USD,1.0,US,San Francisco,CA,2021,,Tech Company,,PhD,,
Data Scientist,120000.0,USD,1.0,US,Chicago,IL,2021,,Tech Company,,MSc in STEM,MI,
Data Scientist,185000.0,USD,1.0,US,Minneapolis,MN,2021,,Tech Company,,MSc not specified,IS,
Director of Data Science,220000.0,USD,1.0,US,New York,NY,2021,,"Energy, oil and gas",,MSc in economics,MI,
Data Analyst,66800.0,USD,1.0,US,Richmond,VA,2021,,Finance,,MBA,,
Product Analyst,93000.0,USD,1.0,US,,,2021,,Consulting,,MSc in STEM,,
Data Scientist,88000.0,USD,1.0,US,Washington,DC,2021,,Ciber Security,,MSc in STEM,IS,
Analytics Manager,132000.0,USD,1.0,US,Atlanta,GA,2021,,Ecommerce,,BSc in human sciences,SE,
Data Analyst,96000.0,USD,1.0,US,Washington,DC,2021,,Tech Company,,BSc in STEM,EN,
Data Scientist,42000.0,EUR,1.0882787,AT,,,2021,,Consulting,,BSc in STEM,IS,
Data Analyst,68500.0,USD,1.0,US,Los Angeles,CA,2021,,Healthcare,,BSc in STEM,IS,
Founder,10000.0,USD,1.0,US,,Oregon,2021,,Tech Company,,MSc in STEM,,
Data Scientist,170000.0,USD,1.0,US,Silicon Valley,CA,2021,,StartUp,,MSc in STEM,MI,
Data Analyst,110000.0,USD,1.0,US,Dallas,TX,2021,,Healthcare,,PhD,,
Data Scientist,27000.0,USD,1.0,US,Dallas,TX,2021,,Tech Company,,MSc in STEM,,
Data Scientist,2100000.0,INR,0.011962834,IN,Bengaluru,Karnataka,2021,,Retail,,MSc in STEM,,
Data Analyst,110000.0,USD,1.0,US,Bentonville,AR,2021,,Finance,,MBA,MI,
Data Scientist,120000.0,USD,1.0,US,Atlanta,GA,2021,,"Marketing, Media and Advertising",,MBA,SE,
Data Scientist,114000.0,USD,1.0,US,New York,NY,2021,,Healthcare,,PhD,IS,
Analytics Manager,95000.0,USD,1.0,US,,,2021,,Finance,,MSc in STEM,SE,
Data Scientist,203000.0,USD,1.0,US,Seattle,WA,2021,,Big Tech,,MSc in STEM,SE,
Data Analyst,80000.0,USD,1.0,US,Twin Cities,MN,2021,,"Education, Research ad University",,BSc in STEM,,
BI Analyst,88000.0,USD,1.0,US,Seattle,WA,2021,,Warehousing and Logistic,,MBA,IS,
Data Scientist,96000.0,USD,1.0,US,Chicago,IL,2021,,Big Tech,,MSc in STEM,IS,
